,created_at,tweet,frames
0,2022-12-11 00:02:36+00:00,"""@109118717467315423 @586937309681172198 we used to have a fella come to our late night hockey games, sit in the stands and knit, one night we asked what he was knitting any why he chose a hockey arena, his response was he enjoyed watching the ladies play, and knitting scarfs and hats for the homeless was his goal. ❤️""",['solutions_interventions']
1,2023-01-15 12:46:08+00:00,"""@1195877653873667817 yes, there are rich people who own companies like tesla, who employ thousands of people who are a plus for our economy. they work, they get paid, they buy houses, cars, groceries, become citizens of law abiding communities, etc. they feel good about themselves. no jobs, homeless.""","['money_aid_resource_allocation', 'solutions_interventions']"
2,2022-11-21 18:04:17+00:00,"""@1667299416332779165 @7182462820379853174 @2173513258681622118 @4306094398791077162 bborders were legally open (only need single lane), business closed cuz they were told to (one place tried to stay open &amp; got harassed by police, homeless were fed &amp; the truckers were the ones harassed, egged &amp; called names.""",['deserving_undeserving_of_resources']
3,2022-09-17 17:03:19+00:00,"""@1717370371494728467 considerable damage has already been done
 

 this isnt just for pain medication too bc so many black, brown, trans,, queer poor, disabled (lol), homeless, immigrant, addicts, mentally ill, and beyond (most people in general) domt get believed by doctors and get pawned off""","['harmful_generalization', 'societal_critique']"
4,2022-10-21 10:12:54+00:00,"""@1749402491031135549 what about our rights to a secure border!?
 those laws were passed by a democratic process. yet you violate your oath of office and give aid and comfort to those that break our laws.
 use funds to aid them,that could give our citizens m4all!
 look at the homeless in your state!!!""","['government_critique', 'deserving_undeserving_of_resources', 'solutions_interventions', 'money_aid_resource_allocation']"
5,2022-04-18 16:31:21+00:00,"""@1875231199292011663 @1055631517598716042 now, shall we show the millions of refugees russia created? tens of millions of homeless? yeah. russia staged a photo op where everything is fine while mariupol of half a mil has been destroyed completely by russia. good job on the ethical balance. murderers can be friendly.""",['government_critique']
6,2022-10-19 14:21:32+00:00,"""@188526512132382363 @1833121427223535141 shame its impossible for you to share your wealth to those homeless people. even if you wanted to, you can't do it.
 

 oh well.""","['money_aid_resource_allocation', 'societal_critique']"
7,2022-01-16 08:06:11+00:00,"""@203034658340412016 the princess was upset because """"homeless people are so messy"""" 
 and i'm blocked now too lol""",['harmful_generalization']
8,2023-02-01 18:01:37+00:00,"""@2169853802653931732 @380008922589762041 seriously? your fellow citizens are starving, homeless, being denied education, and this has been going on for decades and all you want is some drama about one dude? but i'd wager if i said the same about whatever politician you fangirl over you'd throw a fit. gaf about people!""","['government_critique', 'deserving_undeserving_of_resources', 'solutions_interventions']"
9,2022-08-25 17:16:13+00:00,"""@2218312706177708255 @4350462327466321227 @2829988526119201222 @4013710302318918074 obviously rebuild riverview <span class='emoji-bytes' data-emoji-bytes='[240, 159, 153, 132]'></span>. 205 acre facility only needs 5 to 10 acres. the other 195 acres was valued at over $1 billion 10 years ago. gov could build a whole community then collect rent/tax. use income to pay for needs of homeless, mentally ill and addicted.""","['harmful_generalization', 'money_aid_resource_allocation', 'solutions_interventions']"
10,2021-12-08 08:48:36+00:00,"""@2225225765729324733 $crochetaddict81
 i crochet hats and scarves for the homeless so extra money for yarn would be fabulous""",['solutions_interventions']
11,2023-01-03 16:33:15+00:00,"""@2254838399631897564 @2969711145211763130 @640592331819645440 @7737183789666309163 your not going to do anything, what makes you think most the homeless want to work, pay rent, pay taxs, most can't maintain long enough to hold or get a job. can't do drugs on the job. they would rather sit in a tent getting high. she loves her meth to much.""",['harmful_generalization']
12,2022-02-08 10:49:55+00:00,"""@2368999364443714029 i mean my priorities aren't the best. also, i'm totally fine with homeless people being youtubers to make a living i guess if that's they exhausted all other possible forms of employment. i'm referring to able bodies that have resorted to grifting.""","['harmful_generalization', 'societal_critique']"
13,2022-12-01 17:53:14+00:00,"""@2453769645824108888 i have a couple of ideas for the elderly homeless, and the homeless vets.
 too radical for most people, but, you might be interested to hear them.""",['solutions_interventions']
14,2023-01-03 11:29:21+00:00,"""@2823738953383531951 probably doesn’t want one , would rather they focused on sorting the homeless issues""",['solutions_interventions']
15,2021-12-10 13:53:07+00:00,"""@2838714542117356384 @5615571283947186790 @8472620112581527383 right... where even the homeless and poor have cell phones. sure buddy, sure... 
 

 let's take a look at north korea... oh snap, they sent people to internment camps for watch squid games! and killed others...""","['harmful_generalization', 'media_portrayal']"
16,2023-01-11 09:55:41+00:00,"""@2980809936734416769 @3707828934243988793 the materials and labor have already been paid for, catherine. there are more vacant houses than there are homeless people in america""","['money_aid_resource_allocation', 'solutions_interventions']"
17,2022-05-21 20:18:47+00:00,"""@3580811121928397939 yes, i do agree but i'd go a step further....
 homeless servicemen should come before anyone""","['money_aid_resource_allocation', 'deserving_undeserving_of_resources', 'solutions_interventions']"
18,2023-02-02 19:17:26+00:00,"""@3752428076721501213 i will tell the homeless people i know that ireland isn't full, they will be delighted""",['personal_interaction_observation_of_homelessness']
19,2022-09-20 16:33:54+00:00,"""@3791968831239030426 privilege.............
 """"more than 274,000 people are homeless in england right now, including 126,000 children, according to new research published by shelter today.""""
 #ukhomeless
 @shelter""","['societal_critique', 'solutions_interventions']"
20,2022-01-05 05:14:05+00:00,"""@3937798355933572256 im not saying he is guilt or anything, i hanged around a lot ot of homeless people when i was still in high school, they are an odd bunch of people, they had public next to their sleeping, however no one used it everyone was shiting everywhere but inside the toilet""","['harmful_generalization', 'personal_interaction_observation_of_homelessness']"
21,2022-09-25 12:11:20+00:00,"""@406937555202131822 covid; mislead you, talk down the seriousness of the pandemic or letting it spread, gop, top 1%, and their lobbyist theory was; less people more money can go around, believing it would kill most of the homeless or unhealthy people that are a burden to the healthcare sector.""","['harmful_generalization', 'money_aid_resource_allocation', 'government_critique', 'deserving_undeserving_of_resources', 'solutions_interventions']"
22,2022-04-08 00:44:47+00:00,"""@4144639097980012408 my impression is that homelessness is highly comorbid with psychiatric illness, so i would *ideally* like to see the homeless being fed as if they were being treated for metabolic syndrome. (i'm actually involved in such an initiative, but we're temporarily on hold.)""","['harmful_generalization', 'solutions_interventions', 'personal_interaction_observation_of_homelessness']"
23,2022-03-15 14:55:40+00:00,"""@4538319379987691500 @5111860090387448668 the problem for women is labour and lib-dems are not representing us, in fact, many women are being silenced by these parties....and look at what the snp are doing to women &amp; child safeguarding in scotland. many of us are politically homeless.""",['0']
24,2022-12-21 06:45:31+00:00,"""@4777322293108209910 @2586163436819465529 @8850413826780231588 @771215140534906589 that guy his name is joey. he was part of an organization called center for political innovation, headed by a clown named caleb maupin but apparently lost all of his money, and became homeless, but still defense caleb till the end.""","['government_critique', 'personal_interaction_observation_of_homelessness']"
25,2022-01-16 17:03:36+00:00,"""@4849233346733866428 homeless to the shelters, edp's to the mental hospitals.""",['solutions_interventions']
