,date,attitude,frequency,state
0,2021-12-06,harmful generalization,388.0,All Posts
1,2021-12-07,harmful generalization,861.0,All Posts
2,2021-12-08,harmful generalization,1184.0,All Posts
3,2021-12-09,harmful generalization,1374.0,All Posts
4,2021-12-10,harmful generalization,1011.0,All Posts
5,2021-12-11,harmful generalization,750.0,All Posts
6,2021-12-12,harmful generalization,838.0,All Posts
7,2021-12-13,harmful generalization,1016.0,All Posts
8,2021-12-14,harmful generalization,938.0,All Posts
9,2021-12-15,harmful generalization,880.0,All Posts
10,2021-12-16,harmful generalization,885.0,All Posts
11,2021-12-17,harmful generalization,895.0,All Posts
12,2021-12-18,harmful generalization,775.0,All Posts
13,2021-12-19,harmful generalization,750.0,All Posts
14,2021-12-20,harmful generalization,763.0,All Posts
15,2021-12-21,harmful generalization,945.0,All Posts
16,2021-12-22,harmful generalization,921.0,All Posts
17,2021-12-23,harmful generalization,1147.0,All Posts
18,2021-12-24,harmful generalization,1019.0,All Posts
19,2021-12-25,harmful generalization,599.0,All Posts
20,2021-12-26,harmful generalization,730.0,All Posts
21,2021-12-27,harmful generalization,953.0,All Posts
22,2021-12-28,harmful generalization,917.0,All Posts
23,2021-12-29,harmful generalization,910.0,All Posts
24,2021-12-30,harmful generalization,777.0,All Posts
25,2021-12-31,harmful generalization,748.0,All Posts
26,2022-01-01,harmful generalization,641.0,All Posts
27,2022-01-02,harmful generalization,701.0,All Posts
28,2022-01-03,harmful generalization,923.0,All Posts
29,2022-01-04,harmful generalization,1309.0,All Posts
30,2022-01-05,harmful generalization,1024.0,All Posts
31,2022-01-06,harmful generalization,964.0,All Posts
32,2022-01-07,harmful generalization,848.0,All Posts
33,2022-01-08,harmful generalization,884.0,All Posts
34,2022-01-09,harmful generalization,1013.0,All Posts
35,2022-01-10,harmful generalization,1275.0,All Posts
36,2022-01-11,harmful generalization,1160.0,All Posts
37,2022-01-12,harmful generalization,977.0,All Posts
38,2022-01-13,harmful generalization,946.0,All Posts
39,2022-01-14,harmful generalization,972.0,All Posts
40,2022-01-15,harmful generalization,905.0,All Posts
41,2022-01-16,harmful generalization,1049.0,All Posts
42,2022-01-17,harmful generalization,1179.0,All Posts
43,2022-01-18,harmful generalization,1208.0,All Posts
44,2022-01-19,harmful generalization,1472.0,All Posts
45,2022-01-20,harmful generalization,1181.0,All Posts
46,2022-01-21,harmful generalization,1159.0,All Posts
47,2022-01-22,harmful generalization,990.0,All Posts
48,2022-01-23,harmful generalization,926.0,All Posts
49,2022-01-24,harmful generalization,935.0,All Posts
50,2022-01-25,harmful generalization,1138.0,All Posts
51,2022-01-26,harmful generalization,1102.0,All Posts
52,2022-01-27,harmful generalization,1129.0,All Posts
53,2022-01-28,harmful generalization,1060.0,All Posts
54,2022-01-29,harmful generalization,912.0,All Posts
55,2022-01-30,harmful generalization,2264.0,All Posts
56,2022-01-31,harmful generalization,2189.0,All Posts
57,2022-02-01,harmful generalization,1574.0,All Posts
58,2022-02-02,harmful generalization,1407.0,All Posts
59,2022-02-03,harmful generalization,1386.0,All Posts
60,2022-02-04,harmful generalization,1523.0,All Posts
61,2022-02-05,harmful generalization,1375.0,All Posts
62,2022-02-06,harmful generalization,1261.0,All Posts
63,2022-02-07,harmful generalization,1185.0,All Posts
